country,year,indicator,value
DZ,1984,gdp,53698548293.0745
DZ,1983,gdp,48801369800.3675
DZ,1982,gdp,45207167470.3497
DZ,1981,gdp,44348590460.9288
DZ,1980,gdp,42345829079.2062
DZ,1979,gdp,33243706859.6596
DZ,1978,gdp,26364491313.4471
DZ,1977,gdp,20972113684.9558
DZ,1976,gdp,17728240932.3158
DZ,1975,gdp,15557902754.033
DZ,1974,gdp,13209871625.9044
DZ,1973,gdp,8707858912.12481
DZ,1972,gdp,6766743956.88889
DZ,1971,gdp,5077183093.88968
DZ,1970,gdp,4863526896.57407
DZ,1969,gdp,4257253264.08834
DZ,1968,gdp,3852147026.77302
DZ,1967,gdp,3370870376.29682
DZ,1966,gdp,3039859187.45164
DZ,1965,gdp,3136284306.85469
DZ,1964,gdp,2909316435.2874
DZ,1963,gdp,2702982017.63803
DZ,1962,gdp,2001444543.91885
DZ,1961,gdp,2434747055.94018
DZ,1960,gdp,2723615451.30098
DZ,2024,population,46814308.0
DZ,2023,population,46164219.0
DZ,2022,population,45477389.0
DZ,2021,population,44761099.0
DZ,2020,population,44042091.0
DZ,2019,population,43294546.0
DZ,2018,population,42505035.0
DZ,2017,population,41689299.0
DZ,2016,population,40850721.0
DZ,2015,population,40019529.0
DZ,2014,population,39205031.0
DZ,2013,population,38414171.0
DZ,2012,population,37646166.0
DZ,2011,population,36903376.0
DZ,2010,population,36188236.0
DZ,2009,population,35490445.0
DZ,2008,population,34816961.0
DZ,2007,population,34189416.0
DZ,2006,population,33623506.0
DZ,2005,population,33109249.0
DZ,2004,population,32628286.0
DZ,2003,population,32175818.0
DZ,2002,population,31750835.0
DZ,2001,population,31331221.0
DZ,2000,population,30903893.0
DZ,1999,population,30474354.0
DZ,1998,population,30054133.0
DZ,1997,population,29579301.0
DZ,1996,population,29033044.0
DZ,1995,population,28470191.0
DZ,1994,population,27887279.0
DZ,1993,population,27277048.0
DZ,1992,population,26628568.0
DZ,1991,population,25987928.0
DZ,1990,population,25375810.0
DZ,1989,population,24754485.0
DZ,1988,population,24109536.0
DZ,1987,population,23443624.0
DZ,1986,population,22745499.0
DZ,1985,population,22008544.0
DZ,1984,population,21271969.0
DZ,1983,population,20558115.0
DZ,1982,population,19872348.0
DZ,1981,population,19220704.0
DZ,1980,population,18607174.0
DZ,1979,population,18036655.0
DZ,1978,population,17506974.0
DZ,1977,population,17015994.0
DZ,1976,population,16409170.0
DZ,1975,population,15678596.0
DZ,1974,population,15133502.0
DZ,1973,population,14771147.0
DZ,1972,population,14427072.0
DZ,1971,population,14098936.0
DZ,1970,population,13783719.0
DZ,1969,population,13475960.0
DZ,1968,population,13172614.0
DZ,1967,population,12876118.0
DZ,1966,population,12590069.0
DZ,1965,population,12365976.0
DZ,1964,population,12179813.0
DZ,1963,population,11982118.0
DZ,1962,population,11800771.0
DZ,1961,population,11628883.0
DZ,1960,population,11424922.0
MA,2024,gdp,160610994054.734
MA,2023,gdp,146036093666.762
MA,2022,gdp,131245312804.483
MA,2021,gdp,142022058447.231
MA,2020,gdp,121353645057.144
MA,2019,gdp,128920266409.458
MA,2018,gdp,127341147581.818
MA,2017,gdp,118540573367.844
MA,2016,gdp,111572947004.917
MA,2015,gdp,110413823841.592
MA,2014,gdp,119130841411.664
MA,2013,gdp,115739287305.08
MA,2012,gdp,106937392311.129
